MAC,SSID,Encryption,Seen,Channel,RSSI,Latitude,Longitude,AltitudeMeters,AccuracyMeters,Type
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:36:27,6,-44,33.686852,-117.613276,370.9,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:36:27,1,-29,33.686852,-117.613276,373.7,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:36:27,6,-48,33.686852,-117.613276,373.7,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:36:30,1,-46,33.686765,-117.612771,373.7,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:36:30,6,-47,33.686765,-117.612771,373.7,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:36:30,1,-52,33.686765,-117.612771,373.7,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:36:30,6,-56,33.686765,-117.612771,373.7,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:36:38,1,-31,33.686489,-117.611594,385,146,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:36:38,6,-41,33.686489,-117.611594,385,146,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:36:41,1,-31,33.686417,-117.61116,388.3,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:36:41,6,-42,33.686417,-117.61116,388.3,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:36:44,1,-18,33.686367,-117.610691,391.9,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:36:44,6,-42,33.686367,-117.610691,391.9,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:36:47,1,-36,33.686332,-117.610193,391.9,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:36:47,6,-41,33.686332,-117.610193,391.9,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:36:47,1,-44,33.686332,-117.610193,391.9,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:36:47,6,-42,33.686332,-117.610193,391.9,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:36:47,1,-38,33.686332,-117.610193,391.9,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:36:47,6,-41,33.686332,-117.610193,391.9,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:36:47,1,-39,33.686332,-117.610193,391.9,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:36:47,6,-40,33.686332,-117.610193,391.9,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:36:58,1,-36,33.686128,-117.608334,407.9,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:36:58,6,-51,33.686128,-117.608334,407.9,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:1,1,-45,33.686094,-117.607844,411.2,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:1,6,-52,33.686094,-117.607844,411.2,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:4,1,-47,33.686034,-117.607387,411.2,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:4,6,-49,33.686034,-117.607387,411.2,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:4,1,-43,33.686034,-117.607387,414.5,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:4,6,-55,33.686034,-117.607387,414.5,121,WIFI
